index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1204,4943,189715,39628,39598,12849,16323,19741,25485,27265,34339,22329,4389,1049,0,19,2,0,0,0,2
1205,4440,217624,14581,14628,3039,6450,5478,6301,11377,10272,8821,4827,1465,104,18,1,1,1,1,4
1206,4488,144085,5396,5407,2214,2008,1725,2907,3917,3297,2392,882,368,0,3,1,0,0,0,1
1207,7869,179535,32161,32582,6048,10972,17056,14820,19581,26474,21796,7568,2092,87,4,2,3,1,1,7
1208,3753,76723,45337,45685,14479,16008,20785,24831,28574,34085,27539,9528,2883,122,4,1,1,0,0,2
1209,7397,158957,40595,39250,13685,13723,17491,20462,24469,23569,23823,11649,4501,381,20,1,1,0,1,3
1210,2130,132114,60692,58782,10346,17442,22604,23024,33824,41607,44396,24086,8657,534,11,2,1,1,1,5
1211,5497,247192,53856,56979,12068,19516,25337,24290,32469,42908,31787,10105,2977,222,4,3,2,1,1,7
1212,1058,57270,14989,14333,3122,4781,4112,5118,8387,8455,7971,4728,1775,120,10,1,0,0,1,2
1213,842,114056,33248,33561,8208,12469,12598,14810,21623,22300,21814,11675,4707,291,14,1,0,0,0,1
1214,1223,25298,351,381,88,177,330,184,216,441,316,104,16,0,7,1,0,0,0,1
1215,1694,80235,21677,21168,3377,5558,4359,6046,10842,13552,15269,9411,3969,250,5,2,0,0,1,3
1216,886,1871,151,185,32,48,106,185,234,152,77,0,5,0,3,1,0,0,0,1
1217,2001,105561,19537,19238,4154,6384,3930,6159,11210,11817,11829,6913,2998,224,8,2,0,0,0,2
1218,1915,57761,3568,3744,195,637,624,618,1073,2145,3390,2160,1905,305,10,1,0,0,0,1
1219,1551,39266,4487,4367,2647,3079,2110,2712,4047,3583,1765,731,319,30,4,1,0,0,0,1
1220,2041,15688,2387,2453,1031,1230,678,979,1961,1936,1628,1042,806,80,0,1,0,0,0,1
1221,2613,42141,21083,20082,4403,6510,6633,7034,11381,14251,12940,8217,4174,281,7,3,6,1,1,11
1222,2077,28580,2065,2029,748,807,488,1062,1374,1102,805,332,179,12,6,1,1,0,0,2
1223,6190,151406,54475,52087,15086,20610,21954,23860,32637,37023,30264,16397,7564,567,14,3,3,2,2,10
1224,2195,35975,4475,4555,149,435,562,546,1226,2517,4484,3179,2704,271,5,1,1,0,0,2
1225,2039,42038,2297,2249,617,720,606,904,1376,2045,1950,992,701,89,4,1,1,0,0,2
1226,2115,27291,2218,2351,772,1272,357,634,1619,1366,1123,653,577,27,6,1,0,0,0,1
1227,1838,53671,1739,1857,536,597,777,640,1219,1666,1646,905,565,36,4,1,2,0,0,3
1228,1424,41988,3023,3062,723,910,832,972,1866,2205,1938,1183,717,42,7,1,1,0,0,2
