index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
626,안양시립삼덕도서관,2688,156247,37.3964114,126.9154124,96268,94014,22957,28263,48682,55144,55282,68310,61799,27282,10724,648,21,3,0,0,1,4
627,안양어린이도서관,3280,149427,37.3850152,126.9545765,115499,109455,36388,49463,52827,69041,81283,80017,59558,21772,8265,656,27,3,0,1,0,4
628,광적도서관,958,19859,37.8231006,126.9828813,4955,5504,973,1614,2126,2039,2708,3858,3828,1823,1053,139,14,1,0,0,1,2
629,양주희망도서관,2299,84986,37.7957342,127.1072138,12834,11915,4956,7722,5034,5526,11322,9005,5664,3278,1097,35,4,1,0,0,0,1
630,옥정호수도서관,4938,205799,37.8226605,127.0949591,30915,30423,14812,14290,12414,19047,24253,16634,10549,4589,1146,24,9,1,0,0,0,1
631,양주시덕정도서관,1826,58598,37.8430282,127.0631042,18632,18379,5087,7666,9091,8277,12234,13814,9559,5464,2644,123,11,1,0,0,0,1
632,양주시 고읍도서관,1347,105630,37.7917717,127.0846459,19671,18291,5545,9019,7420,7249,14081,12632,9771,5408,2351,156,9,1,0,0,0,1
633,양주시 남면도서관,789,21115,37.8980773,126.9758804,1620,1802,124,410,1007,595,746,1728,1972,981,549,58,15,1,0,0,0,1
634,양주시 덕계도서관,1370,120266,37.8216806,127.0467603,11690,11842,3122,4201,5628,5621,7176,9749,8252,3838,1613,85,10,1,0,0,0,1
635,양주시립꿈나무도서관,2606,80730,37.792424,126.9867123,10110,9920,2152,3322,3662,4039,5779,7227,6533,3470,1961,280,13,1,0,0,0,1
636,양평용문도서관,1451,66770,37.4872119,127.596191,4761,4716,926,1278,1403,1532,2080,2984,4510,2522,1398,143,14,1,0,0,0,1
637,양평군립양동도서관,500,8160,37.4192181,127.7547032,474,563,39,30,85,104,144,373,592,282,142,44,13,1,0,0,0,1
638,양평군립중앙도서관,1937,92282,37.4857517,127.4944522,11999,11490,2764,4462,4461,4551,6917,8372,8100,4198,1903,82,10,2,1,0,1,4
639,양평군립지평도서관,1045,23556,37.4740539,127.6389591,918,916,62,172,162,180,353,621,1190,554,560,50,8,1,0,0,0,1
640,양평 양서친환경도서관,1497,42815,37.5422444,127.3235301,3328,3070,798,757,690,962,1465,1879,2398,1495,806,65,10,1,1,0,0,2
641,양평어린이도서관,1970,39668,37.4856045,127.4945406,11999,11490,2764,4462,4461,4551,6917,8372,8100,4198,1903,82,10,2,1,0,1,4
642,금사도서관,481,10174,37.3884387,127.5345689,0,0,23,46,49,59,161,214,209,48,84,0,8,1,0,0,0,1
643,대신도서관,995,42823,37.3733992,127.5863028,979,952,63,174,232,195,334,664,1013,609,295,8,6,1,0,0,0,1
644,세종도서관,1683,0,37.2971351,127.6249408,14640,14426,3542,4597,4906,5425,8468,9012,7393,3179,1455,130,6,1,0,1,0,2
645,여주도서관,4245,175462,37.2996997,127.6509998,15383,15103,4436,5755,6620,7014,10577,11507,9588,4272,1788,20,14,1,3,0,1,5
646,점동도서관,1287,34088,37.2052397,127.6632689,725,855,44,56,76,130,160,164,227,149,76,0,6,1,0,0,0,1
647,여주기적의도서관,1058,33146,37.2423391,127.5545328,846,997,115,551,1326,343,693,851,588,170,50,0,1,1,0,0,0,1
648,연천도서관,1321,180726,38.0982812,127.0768085,1441,1516,747,682,522,878,1193,797,705,311,191,0,13,1,0,1,2,4
649,연천군 중앙도서관,2057,71656,38.0323559,127.0709016,7806,7934,2957,2901,3864,4309,4411,4820,4554,2591,1589,192,10,1,0,0,0,1
650,양산도서관,2185,99542,37.1942987,127.0322135,37303,38657,14880,16198,20701,25490,28272,22700,14683,6201,1861,81,14,2,1,1,0,4
651,소리울도서관,2999,139210,37.1326424,127.0749641,32566,35248,10934,15664,19109,19959,26577,23309,14035,5819,1958,111,15,2,0,0,1,3
