city,small,name,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
대구,동구,동구팔공문화원,대구광역시 동구 팔공로 197길 25,662,"1,000",35.9560554,128.6888215,226.0,224.0,11.0,11.0,48.0,37.0,73.0,132.0,321.0,292.0,172.0,18.0,9.0,0.0,0.0,0.0,1.0,1.0
대구,북구,북구문화원,"대구광역시 북구 구암로 47, 어울아트센터 내 별관 2층(관음동)",133,"2,000",35.9347008,128.5466137,22941.0,21604.0,3391.0,7613.0,13467.0,8972.0,11108.0,17052.0,14329.0,6092.0,3026.0,223.0,14.0,2.0,1.0,0.0,2.0,5.0
대구,서구,서구문화원,대구광역시 서구 당산로 403,246,"8,000",35.8724689,128.5456327,9193.0,9414.0,1758.0,3080.0,4329.0,3684.0,5156.0,6907.0,7054.0,3429.0,1087.0,147.0,9.0,2.0,0.0,1.0,1.0,4.0
대구,수성구,수성문화원,대구광역시 수성구 들안로 16길 78,606,"10,000",35.8393217,128.6183129,19853.0,18506.0,3982.0,5549.0,9492.0,10007.0,11531.0,13214.0,11561.0,6544.0,2806.0,206.0,14.0,1.0,0.0,0.0,2.0,3.0
대구,중구,중구문화원,대구광역시 중구 봉산문화길 77 봉산문화회관 4층,50,"6,000",35.863327,128.5965948,18760.0,16664.0,3052.0,3431.0,10926.0,9033.0,7746.0,8980.0,8078.0,5271.0,2417.0,67.0,32.0,2.0,2.0,2.0,1.0,7.0
대구광역시,달서구,달서생활문화센터 송현점,대구광역시 달서구 앞산순환로 248,191.21,906,35.8240947,128.5569894,14362.0,13723.0,1890.0,2938.0,6518.0,5744.0,6629.0,9660.0,9472.0,5049.0,2158.0,117.0,5.0,1.0,0.0,0.0,1.0,2.0
대구광역시,달서구,달서생활문화센터 장기점,대구광역시 달서구 문화회관길 160,349.4,"1,017",35.8432116,128.5227107,12039.0,11632.0,3522.0,4629.0,6892.0,6604.0,8552.0,11342.0,8345.0,3530.0,1285.0,82.0,4.0,0.0,0.0,1.0,2.0,3.0
대구광역시,동구,대구 동구 생활문화센터,대구광역시 동구 효동로2길24,642.7,500,35.8796038,128.6518139,12556.0,12136.0,2413.0,3581.0,4781.0,5157.0,6910.0,8175.0,8539.0,5012.0,2292.0,111.0,8.0,0.0,0.0,1.0,1.0,2.0
대구광역시,남구,대덕문화전당 대덕생활문화센터,대구광역시 남구 앞산순환로 478,909.9,,35.8314227,128.5770106,8926.0,8354.0,1302.0,2300.0,6540.0,4529.0,4964.0,5681.0,5607.0,3187.0,1299.0,79.0,10.0,1.0,0.0,1.0,3.0,5.0
대구광역시,남구,대명생활문화센터,대구광역시 남구 장전2길 5(대명동),257.2,"1,000",35.8403273,128.5769315,23573.0,21739.0,3087.0,5367.0,15059.0,11475.0,11988.0,15359.0,15112.0,9315.0,4161.0,162.0,16.0,1.0,0.0,1.0,2.0,4.0
대구광역시,서구,비산5동 생활문화센터,대구광역시 서구 달서천로 65길 17 (비산동),170.8,336,35.8863675,128.5695506,20271.0,20521.0,2029.0,4076.0,8363.0,8322.0,10070.0,16258.0,17411.0,10543.0,3988.0,81.0,8.0,2.0,0.0,0.0,1.0,3.0
대구광역시,달성군,서재행복생활문화센터,대구광역시 달성군 다사읍 서재로 18길 3-1,150.5,400,35.8712236,128.4978288,12456.0,12193.0,6613.0,5015.0,4390.0,8431.0,9667.0,7371.0,4788.0,1545.0,329.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0
대구광역시,수성구,정호승문학관(생활문화센터),대구광역시 수성구 들안로 403-1,454.78,"7,000",35.8661948,128.6178004,31727.0,28856.0,8012.0,11360.0,13588.0,14460.0,19693.0,21756.0,16455.0,9759.0,4574.0,176.0,12.0,2.0,1.0,0.0,1.0,4.0
대구광역시,달성군,하빈 행복생활문화센터,대구광역시 달성군 하빈면 하빈로 172길 1,316.8,"2,171",35.9339387,128.4675901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
대구광역시,수성구,함장생활문화센터,대구광역시 수성구 상화로 65,385.9,"7,000",35.8351286,128.6142967,19050.0,17735.0,3582.0,4796.0,8836.0,8963.0,10580.0,12580.0,11274.0,6322.0,2760.0,230.0,6.0,0.0,0.0,0.0,2.0,2.0
